title,imdb_id
And Justice for All,tt0078718
Three Amigos!,tt0092086
10 Things I Hate About You,tt0147800
Adam Sandler: 100% Fresh,tt9036126
12 Monkeys,tt3148266
1408,
1941,
20 Million Miles to Earth,tt0050084
"20,000 Leagues Under the Sea",tt0046672
2001: A Space Odyssey,tt0062622
2010: The Year We Make Contact,tt0086837
21 Jump Street,tt1232829
28 Days Later,tt0289043
28 Weeks Later,tt0463854
3:10 to Yuma (2007),tt0381849
3:10 to Yuma,tt0050086
"4 Months, 3 Weeks and 2 Days",tt1032846
42nd Street,tt0024034
48 Hrs.,tt0083511
50 First Dates,tt0343660
52 Pick-Up,
84 Charing Cross Road,
84C MoPic,
8MM,
92 in the Shade,tt0072594
A Better Tomorrow,tt0092263
A Boy and His Dog,tt0072730
A Bug's Life,tt0120623
A Child Is Waiting,
A Christmas Carol (1984),
A Christmas Tale,tt0993789
A Ciambra,
A Clockwork Orange,tt0066921
A Dickens of a Holiday!,tt15235708
A Different Man,
A Face in the Crowd,tt0050371
A Few Good Men,
A Fistful of Dollars,tt0058461
A Gorgeous Girl Like Me,
A Hard Day's Night,tt0058182
A Haunting in Venice,
A History of Violence,tt0399146
A League of Their Own,tt0104694
A Lizard in a Woman's Skin,tt0067361
A Matter of Life and Death,
A Midnight Clear,tt0102443
A Midsummer Night’s Dream,
A Midsummer Night's Dream,tt0026714
A Nightmare on Elm Street,tt0087800
A Nightmare on Elm Street (2010),
A Nightmare on Elm Street 3: Dream Warriors,tt0093629
A Nightmare on Elm Street 3: Dream Warrirors,
A Nightmare on Elm Street 4: The Dream Master,tt0095742
A Nightmare on Elm Street Part 2: Freddy's Revenge,
A Nightmare on Elm Street: The Dream Child,tt0097981
A Painted House,tt0362001
A Poem Is A Naked Person,tt0424359
A Prairie Home Companion,tt0420087
A Quiet Place,tt6644200
A Quiet Place: Day One,
A Room with a View,tt0091867
A Separation,tt1832382
A Serious Man,tt1019452
A Simple Plan,tt0120324
A Soldier's Daughter Never Cries,tt0120835
A Star Is Born,tt1517451
A Teacher,tt10680614
A Time to Kill,tt0117913
A Troll in Central Park,
A Very Merry Mix-Up,tt3131456
A View to a Kill,tt0090264
A Warm December,tt0070898
A Woman's Torment,
A.I. Artificial Intelligence,tt0212720
Abbott and Costello Meet Frankenstein,tt0040068
About a Boy,tt0276751
About Time,tt2194499
Ace Attorney,tt5603356
Ace in the Hole,tt0043338
Across the Universe,tt0445922
Ad Astra,tt2935510
Adaptation,
Adventureland,tt1091722
After Earth,tt1815862
After Hours,tt0088680
After Life,
After Yang,tt8633464
Aftersun,tt19770238
Air Force One,tt0118571
Airplane!,tt0080339
Akeelah and the Bee,
Akira,tt0094625
Ali,tt0248667
Alice Doesn't Live Here Anymore,
Alice in Wonderland,
Alien,tt0078748
Alien 3,
Alien vs. Predator,tt0370263
Alien: Covenant,tt2316204
Alien: Resurrection,tt0118583
Aliens,tt0090605
Aliens vs Predator: Requiem,
All About My Mother,tt0185125
All Dogs Go to Heaven,
All is True,tt9206798
All Monsters Attack,tt0064373
All Night Long,tt0054614
All of Us Strangers,
All Quiet on the Western Front,tt1016150
All the Beauty and the Bloodshed,tt21374850
All the Fine Young Cannibals,tt0053582
All the President's Men,tt0074119
All We Imagine as Light,
Alligator,tt0080354
Almost Famous,tt0181875
Alone in the Dark,tt0369226
Always,tt0096794
Amarcord,tt10264444
Amazon Women on the Moon,tt0092546
American Beauty,tt0169547
American Dream,tt0099028
American Gangster,tt0765429
American Graffiti,tt0069704
American Honey,tt3721936
American Hustle,tt1800241
American Movie,
American Pop,
American Psycho,tt0144084
Amistad,tt0118607
Amityville 1992: It’s About Time,
An American Christmas Carol,tt0078764
An American in Paris,
An American Tail,
An American Tail: Fievel Goes West,tt0101329
An American Werewolf in London,tt0082010
An Unexpected Christmas,tt15766640
Anastasia,
Anatomy of a Fall,
Anatomy of a Murder,tt0052561
Anchorman: The Legend of Ron Burgundy,tt0357413
Aniara,tt7589524
Animal Kingdom,tt5574490
Anne of the Thousand Days,tt0064030
Annihilation,
Anomalisa,
Anora,
Another Round,tt10288566
Ant-Man,tt0478970
Ant-Man and the Wasp,tt5095030
Antony and Cleopatra,tt0068920
Antropophagus,
Apocalypse Now,tt0078788
Apocalypse Now: The Final Cut,
Apollo 11,tt8760684
Apollo 13,tt0112384
Arachnophobia,tt0099052
"Are You There God? It's Me, Margaret.",
Army of Darkness,
Arrival,tt2543164
Arsenic and Old Lace,tt0036613
Assassin's Creed,tt2094766
Assault on Precinct 13,tt0074156
Asteroid City,
